Country Name,Country Code,2016,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Solomon Islands,SLB,599419,3,-,-,-,-,-,-,-,3,0.500484636,0.477121255,-,-,-,-,-,-,-,0.477121255,-0.30060925
Slovenia,SVN,2065042,972,175,-,5,118,46,192,302,134,47.06926058,2.987666265,2.243038049,-,0.698970004,2.071882007,1.662757832,2.283301229,2.480006943,2.127104798,1.672737376
Slovak Republic,SVK,5430798,2030,217,1,1,175,155,667,275,444,37.37940538,3.307496038,2.336459734,0,0,2.243038049,2.190331698,2.824125834,2.439332694,2.64738297,1.572632389
Singapore,SGP,5607283,7658,3266,-,-,149,7,2098,201,1937,136.5723827,3.884115362,3.51401618,-,-,2.173186268,0.84509804,3.321805484,2.303196057,3.287129621,2.135362886
Sierra Leone,SLE,7396190,33,14,-,-,4,4,4,-,7,0.446175666,1.51851394,1.146128036,-,-,0.602059991,0.602059991,0.602059991,-,0.84509804,-0.350494119
Serbia,SRB,7058322,2018,400,3,538,249,173,254,43,358,28.59036468,3.304921162,2.602059991,0.477121255,2.730782276,2.396199347,2.238046103,2.404833717,1.633468456,2.553883027,1.456219695
Senegal,SEN,15411614,270,83,-,-,51,68,1,1,48,1.751925528,2.431363764,1.919078092,-,-,1.707570176,1.832508913,0,0,1.681241237,0.243515641
Saudi Arabia,SAU,32275687,1739,171,-,1,1,1,606,1,921,5.387956575,3.240299582,2.23299611,-,0,0,0,2.782472624,0,2.96425963,0.731424087
San Marino,SMR,33203,7,-,-,-,-,1,-,-,1,21.08243231,0.84509804,-,-,-,-,0,-,-,0,1.323920715
Samoa,WSM,195125,33,-,-,-,-,-,1,-,1,16.91223575,1.51851394,-,-,-,-,-,0,-,0,1.228201024
Rwanda,RWA,11917508,89,54,-,-,1,-,26,-,1,0.746800422,1.949390007,1.73239376,-,-,0,-,1.414973348,-,0,-0.126795445
Russian Federation,RUS,144342396,14995,2300,-,4,1556,2009,4120,173,4833,10.3884932,4.17594647,3.361727836,-,0.602059991,3.192009593,3.302979937,3.614897216,2.238046103,3.684216795,1.01655256
Romania,ROU,19699312,4668,1037,207,563,251,213,1250,225,922,23.69625904,3.669130847,3.015778756,2.315970345,2.750508395,2.399673721,2.328379603,3.096910013,2.352182518,2.964730921,1.374679789
Qatar,QAT,2569804,35,4,-,-,-,-,20,-,11,1.361971574,1.544068044,0.602059991,-,-,-,-,1.301029996,-,1.041392685,0.134168044
Portugal,PRT,10325452,6355,952,-,18,645,213,2793,147,1587,61.54694245,3.803115555,2.978636948,-,1.255272505,2.809559715,2.328379603,3.446070936,2.167317335,3.200576927,1.789206483
Poland,POL,37970087,9047,1255,3,217,745,771,3132,369,2555,23.8266507,3.95650459,3.098643726,0.477121255,2.336459734,2.872156273,2.887054378,3.495821753,2.567026366,3.407390904,1.377062998
Philippines,PHL,103320222,17061,3725,56,911,353,188,2805,598,8425,16.51274036,4.232004483,3.571126277,1.748188027,2.959518377,2.547774705,2.274157849,3.447932866,2.776701184,3.92556991,1.217819152
Peru,PER,31773839,5769,1834,893,22,216,423,1128,77,1176,18.15644625,3.761100539,3.263399331,2.950851459,1.342422681,2.334453751,2.626340367,3.0523091,1.886490725,3.070407322,1.259030848
Paraguay,PRY,6725308,458,102,-,-,17,35,80,74,150,6.810097025,2.660865478,2.008600172,-,-,1.230448921,1.544068044,1.903089987,1.86923172,2.176091259,0.833153299
Papua New Guinea,PNG,8084991,6,-,-,-,-,-,1,-,1,0.074211585,0.77815125,-,-,-,-,-,0,-,0,-1.12952829
Panama,PAN,4034119,1613,274,3,86,82,226,342,288,312,39.98394693,3.207634367,2.437750563,0.477121255,1.934498451,1.913813852,2.354108439,2.534026106,2.459392488,2.494154594,1.601885662
Palau,PLW,21503,4,-,-,-,1,-,-,-,1,18.60205553,0.602059991,-,-,-,0,-,-,-,0,1.269560936
Pakistan,PAK,193203476,5598,1828,-,-,71,236,876,421,2166,2.897463398,3.748032894,3.261976191,-,-,1.851258349,2.372912003,2.942504106,2.624282096,3.335658452,0.462017958
Oman,OMN,4424762,74,13,-,-,-,-,19,-,42,1.672406335,1.86923172,1.113943352,-,-,-,-,1.278753601,-,1.62324929,0.223341804
Norway,NOR,5236151,6900,438,-,1,979,1,1695,1703,1702,131.7761845,3.838849091,2.641474111,-,0,2.990782692,0,3.229169703,3.231214648,3.230959556,2.119836929
Nigeria,NGA,185989640,3176,1397,-,4,75,122,521,3,1054,1.707621994,3.501880494,3.145196406,-,0.602059991,1.875061263,2.086359831,2.716837723,0.477121255,3.022840611,0.23239174
Niger,NER,20672987,31,6,-,1,11,-,10,-,1,0.149954141,1.491361694,0.77815125,-,0,1.041392685,-,1,-,0,-0.824041538
Nicaragua,NIC,6149928,1410,241,441,114,9,154,183,10,258,22.92709768,3.149219113,2.382017043,2.644438589,2.056904851,0.954242509,2.187520721,2.26245109,1,2.411619706,1.360349081
New Zealand,NZL,4693200,7660,1061,112,38,1353,375,2711,64,1946,163.2148641,3.88422877,3.025715384,2.049218023,1.579783597,3.131297797,2.574031268,3.433129518,1.806179974,3.289142836,2.212759708
Netherlands,NLD,17030314,27133,1822,7,40,3712,904,10424,3837,6387,159.3217835,4.433497815,3.260548373,0.84509804,1.602059991,3.569607968,2.95616843,4.018034403,3.583991799,3.805296916,2.202275159
Nepal,NPL,28982771,1604,1076,1,-,5,20,93,1,405,5.534322443,3.205204364,3.031812271,0,-,0.698970004,1.301029996,1.968482949,0,2.607455023,0.743064459
Namibia,NAM,2479713,59,5,1,-,9,-,11,1,29,2.379307605,1.770852012,0.698970004,0,-,0.954242509,-,1.041392685,0,1.462397998,0.376450593
Mozambique,MOZ,28829476,62,8,-,-,1,1,18,-,31,0.215057672,1.792391689,0.903089987,-,-,0,0,1.255272505,-,1.491361694,-0.667445059
Morocco,MAR,35276786,816,276,-,-,21,30,166,91,232,2.313135896,2.911690159,2.440909082,-,-,1.322219295,1.477121255,2.220108088,1.959041392,2.365487985,0.364201148
Mongolia,MNG,3027398,339,90,-,-,7,84,15,55,88,11.19773482,2.530199698,1.954242509,-,-,0.84509804,1.924279286,1.176091259,1.740362689,1.944482672,1.049130179
Monaco,MCO,38499,56,8,-,-,36,5,4,-,3,145.4583236,1.748188027,0.903089987,-,-,1.556302501,0.698970004,0.602059991,-,0.477121255,2.162738578
Moldova,MDA,3551954,408,127,44,25,31,20,39,4,118,11.48663524,2.610660163,2.103803721,1.643452676,1.397940009,1.491361694,1.301029996,1.591064607,0.602059991,2.071882007,1.06019283
Mexico,MEX,127540423,843480,17626,332445,90301,7135,34477,46717,65568,249211,661.3432668,5.926074789,4.246153766,5.521719806,4.95569256,3.853393977,4.537529469,4.669474946,4.816691937,5.396567208,2.820426936
Mauritius,MUS,1263473,216,89,1,-,1,1,61,12,49,17.09573533,2.334453751,1.949390007,0,-,0,0,1.785329835,1.079181246,1.69019608,1.232887786
Mauritania,MRT,4301018,24,4,-,-,-,10,6,-,4,0.55800743,1.380211242,0.602059991,-,-,-,1,0.77815125,-,0.602059991,-0.253360018
Malta,MLT,437418,173,24,-,-,8,4,89,6,42,39.55026999,2.238046103,1.380211242,-,-,0.903089987,0.602059991,1.949390007,0.77815125,1.62324929,1.597149453
Mali,MLI,17994837,103,22,-,1,10,51,1,-,17,0.572386402,2.012837225,1.342422681,-,0,1,1.707570176,0,-,1.230448921,-0.242310692
Malaysia,MYS,31187265,5171,1239,-,-,131,40,2357,39,1365,16.58048566,3.713574538,3.093071306,-,-,2.117271296,1.602059991,3.372359583,1.591064607,3.135132651,1.219597247
Malawi,MWI,18091575,65,17,-,-,-,14,15,-,19,0.359283258,1.812913357,1.230448921,-,-,-,1.146128036,1.176091259,-,1.278753601,-0.44456302
Madagascar,MDG,24894551,28,11,1,-,-,1,1,1,12,0.112474413,1.447158031,1.041392685,0,-,-,0,0,0,1.079181246,-0.948946266
"Macedonia, FYR",MKD,2081206,280,91,-,11,41,46,53,5,33,13.45373788,2.447158031,1.959041392,-,1.041392685,1.612783857,1.662757832,1.72427587,0.698970004,1.51851394,1.128842962
Luxembourg,LUX,582014,319,50,-,-,49,10,153,17,40,54.80967812,2.503790683,1.698970004,-,-,1.69019608,1,2.184691431,1.230448921,1.602059991,1.738857252
Lithuania,LTU,2868231,1087,96,-,151,207,65,242,110,216,37.89792384,3.036229544,1.982271233,-,2.178976947,2.315970345,1.812913357,2.383815366,2.041392685,2.334453751,1.578615419
Liechtenstein,LIE,37666,50,1,-,-,10,-,21,1,9,132.7457123,1.698970004,0,-,-,1,-,1.322219295,0,0.954242509,2.123020502
Libya,LBY,6293253,96,27,-,-,1,-,1,-,53,1.525443201,1.982271233,1.431363764,-,-,0,-,0,-,1.72427587,0.183396042
Liberia,LBR,4613823,30,1,-,-,12,11,-,-,1,0.650220002,1.477121255,0,-,-,1.079181246,1.041392685,-,-,0,-0.186939675
Lesotho,LSO,2203821,13,6,-,-,-,1,-,-,1,0.589884569,1.113943352,0.77815125,-,-,-,0,-,-,0,-0.229232965
Lebanon,LBN,6006668,1885,804,-,-,148,81,417,23,412,31.38179104,3.275311355,2.905256049,-,-,2.170261715,1.908485019,2.620136055,1.361727836,2.614897216,1.496677726
Latvia,LVA,1959537,800,110,-,-,211,137,117,89,136,40.82597062,2.903089987,2.041392685,-,-,2.324282455,2.136720567,2.068185862,1.949390007,2.133538908,1.610936519
Lao PDR,LAO,6758353,42,-,-,-,-,3,4,-,35,0.621453185,1.62324929,-,-,-,-,0.477121255,0.602059991,-,1.544068044,-0.206591582
Kyrgyz Republic,KGZ,6079500,78,17,-,-,1,9,8,1,36,1.283000247,1.892094603,1.230448921,-,-,0,0.954242509,0.903089987,0,1.556302501,0.10822674
Kuwait,KWT,4052584,134,43,-,-,16,-,32,-,43,3.306532326,2.127104798,1.633468456,-,-,1.204119983,-,1.505149978,-,1.633468456,0.519372773
Kosovo,XKX,1816200,85,23,-,-,5,13,6,12,26,4.68010131,1.929418926,1.361727836,-,-,0.698970004,1.113943352,0.77815125,1.079181246,1.414973348,0.670255254
"Korea, Rep.",KOR,51245707,49073,8445,-,6,1506,1470,12232,11901,13513,95.76021656,4.690842609,3.926599654,-,0.77815125,3.177824972,3.167317335,4.087497472,4.075583455,4.130751777,1.98118512
Kiribati,KIR,114395,19,-,-,-,-,-,-,-,19,16.60911753,1.278753601,-,-,-,-,-,-,-,1.278753601,1.220346558
Kenya,KEN,48461567,1165,474,-,-,14,242,154,5,276,2.403966838,3.066325925,2.675778342,-,-,1.146128036,2.383815366,2.187520721,0.698970004,2.440909082,0.380928472
Kazakhstan,KAZ,17794397,707,112,-,-,41,38,164,69,283,3.973160765,2.849419414,2.049218023,-,-,1.612783857,1.579783597,2.214843848,1.838849091,2.451786436,0.599136138
Jordan,JOR,9455802,930,401,-,-,34,8,119,35,333,9.835231321,2.968482949,2.603144373,-,-,1.531478917,0.903089987,2.075546961,1.544068044,2.522444234,0.992784579
Japan,JPN,126994511,182062,4965,1,1,2431,1754,41059,104208,27406,143.3621017,5.260219309,3.695919253,0,0,3.385784959,3.244029589,4.613408368,5.017901061,4.437845653,2.156434359
Jamaica,JAM,2881355,18138,599,4420,9587,2158,657,211,75,431,629.4954978,4.258589398,2.777426822,3.645422269,3.981682727,3.33405144,2.81756537,2.324282455,1.875061263,2.63447727,2.798992628
