Country Name,Country Code,2015,Total,H1B,H2A,H2B,O1-2,P1-3,L1,EB5,Other,Density(PerMIllion),Normalized - Total,Normalized - H1B,Normalized - H2A,Normalized - H2B,Normalized - O1-2,Normalized - P1-3,Normalized - L1,Normalized - EB5,Normalized - Other,Normalized - Density(PerMIllion)
Sri Lanka,LKA,20966000,1513,631,-,-,12,33,290,50,497,7.216445674,3.179838928,2.800029359,-,-,1.079181246,1.51851394,2.462397998,1.698970004,2.696356389,0.858323347
Sudan,SDN,38647803,42,10,-,-,5,-,-,-,23,0.108673706,1.62324929,1,-,-,0.698970004,-,-,-,1.361727836,-0.96387552
Suriname,SUR,553208,66,20,-,-,-,-,-,17,22,11.93041315,1.819543936,1.301029996,-,-,-,-,-,1.230448921,1.342422681,1.076655484
Swaziland,SWZ,1319011,37,17,-,-,-,-,-,-,11,2.805132027,1.568201724,1.230448921,-,-,-,-,-,-,1.041392685,0.447953307
Sweden,SWE,9799186,18128,1529,-,-,2689,1676,5431,2703,4081,184.9949577,4.258349893,3.184407485,-,-,3.429590802,3.224274014,3.734879803,3.431846046,3.610766595,2.267159891
Switzerland,CHE,8282396,10812,1214,3,3,984,363,3767,1978,2500,130.541935,4.033906037,3.084218687,0.477121255,0.477121255,2.992995098,2.559906625,3.57599562,3.296226287,3.397940009,2.115750046
Syrian Arab Republic,SYR,18734987,207,30,-,-,-,18,27,-,127,1.104884674,2.315970345,1.477121255,-,-,-,1.255272505,1.431363764,-,2.103803721,0.043316949
Tajikistan,TJK,8548651,32,21,-,-,-,-,-,-,-,0.374328066,1.505149978,1.322219295,-,-,-,-,-,-,-,-0.426747609
Tanzania,TZA,53879957,268,149,-,-,18,10,15,-,76,0.49740203,2.428134794,2.173186268,-,-,1.255272505,1,1.176091259,-,1.880813592,-0.303292446
Thailand,THA,68657600,2937,812,12,26,99,83,497,640,768,4.277749295,3.467903947,2.909556029,1.079181246,1.414973348,1.995635195,1.919078092,2.696356389,2.806179974,2.88536122,0.631215328
Togo,TGO,7416802,51,36,-,-,-,-,-,-,15,0.687627902,1.707570176,1.556302501,-,-,-,-,-,-,1.176091259,-0.162646509
Tonga,TON,106364,90,-,-,-,-,-,-,-,-,84.61509533,1.954242509,-,-,-,-,-,-,-,-,1.927447848
Trinidad and Tobago,TTO,1360092,3638,909,-,-,320,582,1006,199,622,267.4819056,3.560862695,2.958563883,-,-,2.505149978,2.764922985,3.002597981,2.298853076,2.793790385,2.427294409
Tunisia,TUN,11273661,348,75,-,-,19,4,92,36,122,3.086841089,2.541579244,1.875061263,-,-,1.278753601,0.602059991,1.963787827,1.556302501,2.086359831,0.489514273
Turkey,TUR,78271472,9145,3570,-,75,266,25,1327,2047,1835,11.68369492,3.96118371,3.552668216,-,1.875061263,2.424881637,1.397940009,3.122870923,3.311117843,3.263636069,1.067580208
Turkmenistan,TKM,5565284,81,17,-,-,-,4,11,-,49,1.45545133,1.908485019,1.230448921,-,-,-,0.602059991,1.041392685,-,1.69019608,0.162997687
Uganda,UGA,40144870,687,150,-,-,16,385,31,-,105,1.711302092,2.836956737,2.176091259,-,-,1.204119983,2.58546073,1.491361694,-,2.021189299,0.233326681
Ukraine,UKR,45154029,6052,1231,108,54,463,595,1470,95,2036,13.40301217,3.781898919,3.090258053,2.033423755,1.73239376,2.665580991,2.774516966,3.167317335,1.977723605,3.308777774,1.127202412
United Arab Emirates,ARE,9154302,142,-,-,-,-,-,51,-,46,1.551183258,2.152288344,-,-,-,-,-,1.707570176,-,1.662757832,0.190663109
United Kingdom,GBR,65128861,164597,16216,63,1704,25278,7132,58335,21076,34793,252.7251321,5.216421915,4.209943736,1.799340549,3.23146959,4.40274271,3.853211335,4.765929202,4.32378819,4.541491877,2.402648432
Uruguay,URY,3431552,1468,307,37,-,130,50,462,134,348,42.77947704,3.166726056,2.487138375,1.568201724,-,2.113943352,1.698970004,2.664641976,2.127104798,2.541579244,1.631235471
Uzbekistan,UZB,31298900,330,79,-,-,-,43,34,-,154,1.054350153,2.51851394,1.897627091,-,-,-,1.633468456,1.531478917,-,2.187520721,0.022984865
Vanuatu,VUT,264603,14,-,-,-,-,-,-,-,-,5.290945303,1.146128036,-,-,-,-,-,-,-,-,0.723533272
"Venezuela, RB",VEN,31155134,23713,4970,-,-,1719,1828,6858,1773,6565,76.1126561,4.374986501,3.696356389,-,-,3.235275877,3.261976191,3.836197481,3.248708736,3.81723473,1.881456878
Vietnam,VNM,93571567,2181,840,-,-,38,212,312,-,756,2.330836246,3.338655666,2.924279286,-,-,1.579783597,2.326335861,2.494154594,-,2.878521796,0.367511763
"Yemen, Rep.",YEM,26916207,50,-,-,-,-,-,-,-,30,0.185761686,1.698970004,-,-,-,-,-,-,-,1.477121255,-0.731043855
Zambia,ZMB,16100587,163,68,-,-,-,-,26,-,64,1.012385449,2.212187604,1.832508913,-,-,-,-,1.414973348,-,1.806179974,0.005345894
Zimbabwe,ZWE,15777451,624,212,-,-,35,46,201,4,123,3.955011491,2.79518459,2.326335861,-,-,1.544068044,1.662757832,2.303196057,0.602059991,2.089905111,0.59714775
